ordinal__Parental_Involvement,ordinal__Access_to_Resources,ordinal__Motivation_Level,ordinal__Family_Income,ordinal__Teacher_Quality,ordinal__Peer_Influence,ordinal__Parental_Education_Level,ordinal__Distance_from_Home,nominal__Extracurricular_Activities_No,nominal__Extracurricular_Activities_Yes,nominal__Internet_Access_No,nominal__Internet_Access_Yes,nominal__School_Type_Private,nominal__School_Type_Public,nominal__Learning_Disabilities_No,nominal__Learning_Disabilities_Yes,nominal__Gender_Female,nominal__Gender_Male,skewed_num__Hours_Studied,skewed_num__Tutoring_Sessions,standard_num__Attendance,standard_num__Sleep_Hours,standard_num__Previous_Scores,standard_num__Physical_Activity,Exam_Score
0.0,2.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.172936098572023,0.5675831586870179,-0.07584642939569783,0.6690944412541391,-0.8372766897155727,1.964909018690601,69
2.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,-0.6611013161281462,0.5675831586870179,0.5318942367281592,-0.016740338037584422,1.314727867013022,0.03038141739033513,69
0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.3401423929153288,-0.24022295979711117,0.6187143318887102,0.6690944412541391,0.5511133468835206,-1.904146183909931,66
2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,-0.3270905501287735,-0.24022295979711117,1.7473755689758732,2.040763999837586,0.7593718523733847,0.03038141739033513,72
2.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2.5030849687595205,-0.24022295979711117,-0.16266652455624883,2.040763999837586,1.6618253761627952,-0.9368823832597979,72
1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,-0.4940601337990185,0.5675831586870179,1.0528148076914652,-0.016740338037584422,-0.6290181842257087,0.03038141739033513,66
2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,-0.3270905501287735,-0.24022295979711117,-0.24948661971679983,-2.074244675912755,0.34285484139365663,-0.9368823832597979,66
1.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.5068041125862829,0.5675831586870179,0.8791746173703632,-0.016740338037584422,0.9676303578632486,0.9976452180404681,71
1.0,1.0,2.0,0.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.3401423929153288,-0.24022295979711117,-1.204507666482861,-0.7025751173293079,-0.8372766897155727,1.964909018690601,64
1.0,2.0,2.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,-0.3270905501287735,0.5675831586870179,-0.3363067148773508,-0.016740338037584422,0.48169384505356594,0.9976452180404681,70
1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.5068041125862829,0.5675831586870179,1.48691528349422,1.3549292205458625,1.4535668706729312,0.9976452180404681,74
1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,-0.828218347021066,-0.24022295979711117,-0.5967670003590039,-0.016740338037584422,1.4535668706729312,-0.9368823832597979,64
0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.3401423929153288,-1.471905932366928,-1.378147856803963,0.6690944412541391,1.106469361523158,0.9976452180404681,63
2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0064763384636106,1.687916313021881,-0.5967670003590039,0.6690944412541391,1.106469361523158,1.964909018690601,69
2.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,-1.3300757218622787,-0.24022295979711117,-0.07584642939569783,-1.3884098966210314,-1.3232132025252554,1.964909018690601,64
1.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,-1.3300757218622787,0.5675831586870179,0.35825404640705716,-0.7025751173293079,0.898210856033294,-0.9368823832597979,67
0.0,1.0,2.0,2.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.5068041125862829,-0.24022295979711117,-0.07584642939569783,-0.016740338037584422,-0.6290181842257087,0.03038141739033513,68
0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,-0.9954160107828299,-1.471905932366928,1.5737353786547712,-0.016740338037584422,1.5924058743328406,0.03038141739033513,68
1.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0064763384636106,-0.24022295979711117,-1.4649679519645138,1.3549292205458625,-0.07366216958607137,0.9976452180404681,67
